#                                                                          running time (s)                 
#                                                                   -------------------------------          
# idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
  236  360095      1488        1     1430     no   1846.68       -       1.05       0.24       1.83     36.43
  237  360107      1511        1     1430     no   1800.31       -       1.10       0.26       1.90     37.01
  238  360911      1563        1     1430     no   1877.47       -       1.40       0.18       2.16     37.97
  239  362663      1551        1     1430     no   1784.92       -       1.39       0.23       2.19     38.05
  240  362976      1471        6     1427  5'&3'   1166.61       -       1.33       0.50       2.37     38.59
  241  363253      1553        1     1430     no   1839.66       -       1.04       0.20       1.81     37.86
  242  365046      1531        1     1430     no   1815.21       -       1.27       0.22       2.05     37.37
  243  366394      1485        1     1430     no   1854.99       -       1.12       0.20       1.85     36.37
  244  366602      1486        1     1430     no   1866.85       -       1.06       0.15       1.76     36.22
  245  367737      1517        1     1430     no   1829.49       -       1.27       0.24       2.07     37.09
  246  367928      1532        1     1430     no   1793.55       -       0.97       0.20       1.74     37.35
  247  368407      1466        6     1427  5'&3'   1222.66       -       1.24       0.44       2.21     38.32
  248  368408      1500        6     1427  5'&3'   1305.95       -       0.84       0.48       1.86     38.82
  249  370438      1601        2     1430     5'   1875.39       -       1.14       0.22       1.95     38.85
  250  373903      1551        1     1430     no   1859.20       -       1.16       0.22       1.95     37.90
  251  374847      1495        6     1427  5'&3'   1287.72       -       0.82       0.53       1.90     39.17
  252  375286      1533        1     1430     no   1824.14       -       1.04       0.22       1.81     37.41
  253  376619      1528        1     1430     no   1821.84       -       1.15       0.20       1.92     37.32
  254  376686      1514        1     1430     no   1725.29       -       1.30       0.22       2.08     37.25
  255  377629      1531        1     1430     no   1867.19       -       1.14       0.23       1.93     37.37
  256  378753      1531        1     1430     no   1842.22       -       1.45       0.26       2.27     37.25
  257  378806      1547        1     1430     no   1848.76       -       1.19       0.20       1.96     37.71
  258  379066      1524        1     1430     no   1822.77       -       1.44       0.24       2.24     37.35
  259  380394      1536        1     1430     no   1846.48       -       1.03       0.22       1.81     37.49
  260  380749      1556        1     1430     no   1690.65       -       0.99       0.31       1.87     38.41
  261  381666      1532        1     1430     no   1827.11       -       1.07       0.19       1.82     37.38
  262  381764      1508        1     1430     no   1752.59       -       0.91       0.23       1.70     37.03
  263  383372      1476        1     1430     no   1682.43       -       1.23       0.19       1.96     36.43
  264  383407      1547        1     1430     no   1853.30       -       1.13       0.20       1.90     37.73
  265  384616      1499        6     1427  5'&3'   1339.39       -       1.02       0.43       2.00     38.58
  266  384676      1537        1     1430     no   1863.54       -       1.01       0.20       1.78     37.51
  267  384765      1499        1     1430     no   1825.55       -       1.19       0.22       1.96     36.62
  268  386415      1513        1     1430     no   1871.06       -       1.10       0.15       1.80     36.94
  269  387092      1543        1     1430     no   1873.93       -       1.11       0.18       1.86     37.51
  270  387093      1511        1     1430     no   1814.26       -       1.19       0.20       1.95     36.89
  271  387662      1528        9     1419  5'&3'   1612.83       -       1.06       0.30       1.92     37.69
  272  388399      1448        1     1429     3'   1759.08       -       1.13       0.22       1.88     35.79
  273  388413      1522        1     1430     no   1743.35       -       0.95       0.25       1.76     37.45
  274  391009      1565        1     1430     no   1770.87       -       1.37       0.28       2.23     38.31
  275  391037      1516        1     1430     no   1856.29       -       1.16       0.20       1.91     36.81
  276  391165      1493        1     1430     no   1826.05       -       1.03       0.19       1.76     36.50
  277  391587      1521        4     1430     5'   1708.50       -       1.04       0.25       1.85     37.39
  278  391592      1513        1     1430     no   1857.46       -       1.14       0.23       1.92     36.77
  279  391596      1519        1     1424     3'   1711.74       -       1.25       0.30       2.11     37.35
  280  391597      1533        2     1430     5'   1834.66       -       1.01       0.22       1.80     37.36
  281  391600      1342       19     1349  5'&3'   1677.49       -       0.95       0.24       1.67     31.90
  282  391613      1910        1     1430     no   1703.63       -       1.79       0.25       2.71     46.55
  283  391619      1464        1     1430     no   1787.95       -       1.30       0.25       2.09     36.15
  284  391624      1463        1     1429     3'   1779.74       -       1.09       0.22       1.85     36.10
  285  391625      1526        8     1430     5'   1799.99       -       1.19       0.28       2.02     37.41
  286  391626      1467        1     1430     no   1790.58       -       1.20       0.27       2.00     36.22
  287  391735      1534        1     1430     no   1798.52       -       0.91       0.22       1.70     37.50
  288  394221      1467        1     1430     no   1805.33       -       1.29       0.26       2.08     36.16
  289  395494      1536        1     1430     no   1834.05       -       1.25       0.26       2.08     37.44
  290  395495      1527        1     1430     no   1830.50       -       1.27       0.19       2.02     37.29
