name_in_ds2_full	TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
Bacteroides_finegoldii_DSM_17565	483215	Bacteroides finegoldii	Bacteroides finegoldii DSM 17565	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii	1
Bacteroides_fragilis_3_1_12	457424	Bacteroides fragilis 3112	Bacteroides fragilis 3_1_12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	1
Bacteroides_intestinalis_341_DSM_17393	471870	Bacteroides intestinalis	Bacteroides intestinalis DSM 17393	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	1
Bacteroides_ovatus_ATCC_8483	411476	Bacteroides ovatus	Bacteroides ovatus ATCC 8483	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	1
Bacteroides_pectinophilus_ATCC_43243	483218	Bacteroides pectinophilus	Bacteroides pectinophilus ATCC 43243	Bacteria	Firmicutes	Clostridia	Clostridiales	1	1	Bacteroides pectinophilus	1
Bacteroides_plebeius_M12_DSM_17135	484018	Bacteroides plebeius	Bacteroides plebeius DSM 17135	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides plebeius	1
Bacteroides_sp_2_1_7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_sp_2_2_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_sp_4_3_47FAA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_sp_9_1_42FAA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_sp_D1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_stercoris_ATCC_43183	449673	Bacteroides stercoris	Bacteroides stercoris ATCC 43183	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	1
Bacteroides_thetaiotaomicron_VPI_5482	226186	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron VPI-5482	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	1
Bacteroides_uniformis_ATCC_8492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_vulgatus_ATCC_8482	435590	Bacteroides vulgatus	Bacteroides vulgatus ATCC 8482	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus	1
Bacteroides_xylanisolvens_XB1A	657309	Bacteroides xylanisolvens	Bacteroides xylanisolvens XB1A	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	1
Bifidobacterium_adolescentis_L2_32	367928	Bifidobacterium adolescentis	Bifidobacterium adolescentis ATCC 15703	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	1
Bifidobacterium_catenulatum_DSM_16992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bifidobacterium_longum_longum_CCUG_52486	206672	Bifidobacterium longum	Bifidobacterium longum NCC2705	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	1
Bifidobacterium_pseudocatenulatum_DSM_20438	547043	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	1
