TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies	STRING_type
431943	Clostridium kluyveri	Clostridium kluyveri DSM 555	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium kluyveri	1	periphery
434131	Neorickettsia risticii	Neorickettsia risticii str. Illinois	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Neorickettsia	Neorickettsia risticii	1	core
436308	Nitrosopumilus maritimus	Nitrosopumilus maritimus SCM1	Archaea	Thaumarchaeota	1	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus maritimus	1	core
438753	Azorhizobium caulinodans	Azorhizobium caulinodans ORS 571	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium	Azorhizobium caulinodans	1	core
439235	Desulfatibacillum alkenivorans	Desulfatibacillum alkenivorans AK-01	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum	Desulfatibacillum alkenivorans	1	core
439375	Ochrobactrum anthropi	Ochrobactrum anthropi ATCC 49188	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum anthropi	1	core
439481	Aciduliprofundum boonei	Aciduliprofundum boonei T469	Archaea	Euryarchaeota	1	1	1	Aciduliprofundum	Aciduliprofundum boonei	1	core
439493	Pelagibacter sp. HTCC7211	Candidatus Pelagibacter sp. HTCC7211	Bacteria	Proteobacteria	Alphaproteobacteria	1	1	Candidatus Pelagibacter	1	1	core
441620	Methylobacterium populi	Methylobacterium populi BJ001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium populi	1	core
441768	Acholeplasma laidlawii	Acholeplasma laidlawii PG-8A	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii	1	core
441769	Bacillus coahuilensis	Bacillus coahuilensis m4-4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus coahuilensis	1	core
443218	Amycolicicoccus subflavus	Amycolicicoccus subflavus DQS3-9A1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Amycolicicoccus	Amycolicicoccus subflavus	1	core
443254	Marinitoga piezophila	Marinitoga piezophila KA3	Bacteria	Thermotogae	Thermotogae	Petrotogales	1	Marinitoga	Marinitoga piezophila	1	core
443906	Clavibacter michiganensis michiganensis	Clavibacter michiganensis subsp. michiganensis NCPPB 382	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter michiganensis	Clavibacter michiganensis subsp. michiganensis	core
445335	Clostridium botulinum NCTC2916	Clostridium botulinum NCTC 2916	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	1	periphery
445337	Clostridium botulinum C Eklund	Clostridium botulinum C str. Eklund	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	1	periphery
445932	Elusimicrobium minutum	Elusimicrobium minutum Pei191	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	Elusimicrobium minutum	1	core
445971	Anaerofustis stercorihominis	Anaerofustis stercorihominis DSM 17244	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Anaerofustis stercorihominis	1	core
445972	Anaerotruncus colihominis	Anaerotruncus colihominis DSM 17241	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis	1	core
446462	Actinosynnema mirum	Actinosynnema mirum DSM 43827	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema mirum	1	core
446465	Brachybacterium faecium	Brachybacterium faecium DSM 4810	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium faecium	1	core
446468	Nocardiopsis dassonvillei	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis dassonvillei	Nocardiopsis dassonvillei subsp. dassonvillei	core
446469	Sanguibacter keddieii	Sanguibacter keddieii DSM 10542	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	Sanguibacter keddieii	1	core
446470	Stackebrandtia nassauensis	Stackebrandtia nassauensis DSM 44728	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae	Stackebrandtia	Stackebrandtia nassauensis	1	core
446471	Xylanimonas cellulosilytica	Xylanimonas cellulosilytica DSM 15894	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Xylanimonas	Xylanimonas cellulosilytica	1	core
448385	Sorangium cellulosum	Sorangium cellulosum So ce 56	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	1	core
449447	Microcystis aeruginosa	Microcystis aeruginosa NIES-843	Bacteria	Cyanobacteria	1	Chroococcales	1	Microcystis	Microcystis aeruginosa	1	core
450851	Phenylobacterium zucineum	Phenylobacterium zucineum HLK1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium zucineum	1	core
451757	Clostridium perfringens NCTC8239	Clostridium perfringens NCTC 8239	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	1	periphery
452471	Amoebophilus asiaticus	Candidatus Amoebophilus asiaticus 5a2	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	Candidatus Amoebophilus asiaticus	1	core
452637	Opitutus terrae	Opitutus terrae PB90-1	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus terrae	1	core
452652	Kitasatospora setae	Kitasatospora setae KM-6054	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora setae	1	core
452863	Arthrobacter chlorophenolicus	Arthrobacter chlorophenolicus A6	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter chlorophenolicus	1	core
453591	Ignicoccus hospitalis	Ignicoccus hospitalis KIN4/I	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis	1	core
455436	Glaciecola sp. HTCC2999	Glaciecola sp. HTCC2999	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	1	1	core
